year,region,theme,album_count,sample_artists,hover_text,bubble_size
2022,New Brunswick,Love & Relationships,1,Julie Doiron,<b>2022 | New Brunswick</b><br><b>Theme:</b> Love & Relationships<br><b>Albums:</b> 1<br><b>Artists:</b> Julie Doiron,10
2022,Nova Scotia,Identity & Heritage,1,P'tit Belliveau,<b>2022 | Nova Scotia</b><br><b>Theme:</b> Identity & Heritage<br><b>Albums:</b> 1<br><b>Artists:</b> P'tit Belliveau,10
2022,Nunavut,Identity & Heritage,1,Tanya Tagaq,<b>2022 | Nunavut</b><br><b>Theme:</b> Identity & Heritage<br><b>Albums:</b> 1<br><b>Artists:</b> Tanya Tagaq,10
2022,Ontario,Experimental & Abstract,1,BADBADNOTGOOD,<b>2022 | Ontario</b><br><b>Theme:</b> Experimental & Abstract<br><b>Albums:</b> 1<br><b>Artists:</b> BADBADNOTGOOD,10
2022,Ontario,Identity & Heritage,3,"AHI, The Halluci Nation, Ombiigizi","<b>2022 | Ontario</b><br><b>Theme:</b> Identity & Heritage<br><b>Albums:</b> 3<br><b>Artists:</b> AHI, The Halluci Nation, Ombiigizi",24
2022,Ontario,Introspection & Philosophy,4,"Joyful Joyful, Luna Li, PUP","<b>2022 | Ontario</b><br><b>Theme:</b> Introspection & Philosophy<br><b>Albums:</b> 4<br><b>Artists:</b> Joyful Joyful, Luna Li, PUP",32
2022,Ontario,Love & Relationships,7,"Basia Bulat, Tanika Charles, Adria Kain","<b>2022 | Ontario</b><br><b>Theme:</b> Love & Relationships<br><b>Albums:</b> 7<br><b>Artists:</b> Basia Bulat, Tanika Charles, Adria Kain",56
2022,Ontario,Place & Landscape,1,Kelly McMichael,<b>2022 | Ontario</b><br><b>Theme:</b> Place & Landscape<br><b>Albums:</b> 1<br><b>Artists:</b> Kelly McMichael,10
2022,Ontario,Social Commentary,2,"Haviah Mighty, SATE","<b>2022 | Ontario</b><br><b>Theme:</b> Social Commentary<br><b>Albums:</b> 2<br><b>Artists:</b> Haviah Mighty, SATE",16
2022,Quebec,Experimental & Abstract,4,"Hubert Lenoir, myst milano., Ouri","<b>2022 | Quebec</b><br><b>Theme:</b> Experimental & Abstract<br><b>Albums:</b> 4<br><b>Artists:</b> Hubert Lenoir, myst milano., Ouri",32
2022,Quebec,Identity & Heritage,1,Pierre Kwenders,<b>2022 | Quebec</b><br><b>Theme:</b> Identity & Heritage<br><b>Albums:</b> 1<br><b>Artists:</b> Pierre Kwenders,10
2022,Quebec,Introspection & Philosophy,2,"Jean-Michel Blais, Ada Lea","<b>2022 | Quebec</b><br><b>Theme:</b> Introspection & Philosophy<br><b>Albums:</b> 2<br><b>Artists:</b> Jean-Michel Blais, Ada Lea",16
2022,Quebec,Love & Relationships,3,"Lydia Képinski, Les Louanges, Men I Trust","<b>2022 | Quebec</b><br><b>Theme:</b> Love & Relationships<br><b>Albums:</b> 3<br><b>Artists:</b> Lydia Képinski, Les Louanges, Men I Trust",24
2022,Quebec,Place & Landscape,1,Stars,<b>2022 | Quebec</b><br><b>Theme:</b> Place & Landscape<br><b>Albums:</b> 1<br><b>Artists:</b> Stars,10
2022,Quebec,Social Commentary,3,"Arcade Fire, Backxwash, Chiiild","<b>2022 | Quebec</b><br><b>Theme:</b> Social Commentary<br><b>Albums:</b> 3<br><b>Artists:</b> Arcade Fire, Backxwash, Chiiild",24
2022,Saskatchewan,Experimental & Abstract,1,The Garrys,<b>2022 | Saskatchewan</b><br><b>Theme:</b> Experimental & Abstract<br><b>Albums:</b> 1<br><b>Artists:</b> The Garrys,10
2023,Alberta,Identity & Heritage,1,Ghostkeeper,<b>2023 | Alberta</b><br><b>Theme:</b> Identity & Heritage<br><b>Albums:</b> 1<br><b>Artists:</b> Ghostkeeper,10
2023,Alberta,Place & Landscape,1,Mariel Buckley,<b>2023 | Alberta</b><br><b>Theme:</b> Place & Landscape<br><b>Albums:</b> 1<br><b>Artists:</b> Mariel Buckley,10
2023,British Columbia,Experimental & Abstract,1,Khotin,<b>2023 | British Columbia</b><br><b>Theme:</b> Experimental & Abstract<br><b>Albums:</b> 1<br><b>Artists:</b> Khotin,10
